season,strategy,num_days,total_grid_only_net_cost,total_strategy_external_net_cost,total_community_saving,total_buyer_savings,total_seller_gains,total_social_benefit,max_abs_saving_gap_check,total_grid_only_import,total_grid_only_export,total_strategy_external_import,total_strategy_external_export,total_external_import_reduction,total_external_export_reduction,total_p2p_matched_volume,total_num_trades,total_num_unmatched_orders,total_feasible_p2p_volume,overall_match_rate,avg_slot_saving,avg_daily_matched_volume,avg_daily_num_trades,avg_daily_saving,avg_trade_price,median_trade_price,weighted_avg_trade_price
spring,static,91,379.4818613125083,307.6644626162091,71.81739869629918,48.19272008170519,23.624678614593975,71.81739869629916,7.28583859910259e-16,5340.751461171468,7158.392863952907,4577.366651709984,6395.008054491423,763.3848094614841,763.3848094614841,763.3848094614841,3052,16280,782.401787705878,0.9756941017477037,0.03318733766002735,8.388844060016309,33.53846153846154,0.7892021834758152,0.13513699166576643,0.1222728946774088,0.1330871420199643
spring,zip,91,379.4818613125083,306.18600538317105,73.29585592933721,55.12847647182325,18.16737945751396,73.29585592933721,7.355227538141662e-16,5340.751461171468,7158.392863952907,4558.349673465589,6375.99107624703,782.401787705878,782.401787705878,782.401787705878,3142,16190,782.401787705878,1.0,0.03387054340542385,8.597821842921736,34.527472527472526,0.8054489662564528,0.12753092194631216,0.11533679795317123,0.1250158416430849
spring,aa,91,379.4818613125083,306.18600538317116,73.29585592933721,42.57357338422187,30.722282545115327,73.29585592933721,7.355227538141662e-16,5340.751461171468,7158.392863952907,4558.349673465589,6375.99107624703,782.401787705878,782.401787705878,782.401787705878,3168,16164,782.401787705878,1.0,0.03387054340542385,8.597821842921736,34.81318681318681,0.8054489662564528,0.1427892021045015,0.14018300214177354,0.14106246025372773
summer,static,91,-1205.752975960505,-1237.66421145689,31.91123549638504,19.67476564541529,12.236469850969748,31.91123549638504,8.881784197001252e-16,971.9603329664544,14680.986934612156,605.0512660822402,14314.077867727943,366.90906688421427,366.9090668842143,366.90906688421427,1792,14663,372.8532306481812,0.9840576310586517,0.014611371564278865,4.031967767958399,19.692307692307693,0.35067291754269275,0.1312245073758999,0.1250328484519953,0.12931746207803227
summer,zip,91,-1205.752975960505,-1238.145427660009,32.39245169950417,16.345655182832694,16.04679651667148,32.39245169950418,8.881784197001252e-16,971.9603329664544,14680.986934612156,599.1071023182733,14308.133703963977,372.8532306481812,372.85323064818124,372.8532306481812,1815,14640,372.8532306481812,1.0,0.014831708653619127,4.097288248881112,19.945054945054945,0.355961007686859,0.14012401939740862,0.13427594284229316,0.1389200846151288
summer,aa,91,-1205.752975960505,-1238.145427660009,32.39245169950417,20.187693623933267,12.204758075570908,32.39245169950418,8.881784197001252e-16,971.9603329664544,14680.986934612156,599.1071023182733,14308.133703963977,372.8532306481812,372.85323064818124,372.8532306481812,1847,14608,372.8532306481812,1.0,0.014831708653619127,4.097288248881112,20.296703296703296,0.355961007686859,0.1291892879456501,0.12538645196668194,0.12861565883766826
autumn,static,90,1360.2970130013769,1304.2550507302035,56.04196227117352,35.63788980756435,20.404072463609168,56.04196227117352,7.320533068622126e-16,8079.175988947931,2158.3730433076553,7447.058051331535,1526.255105691259,632.1179376163959,632.1179376163959,632.1179376163959,3012,20828,647.8303638983602,0.9757460792862289,0.025945352903321072,7.023532640182177,33.46666666666667,0.6226884696797057,0.130167599731318,0.11536668223372726,0.1298361836396996
autumn,zip,90,1360.2970130013769,1303.0712060043372,57.22580699703967,32.74652867252719,24.479278324512478,57.22580699703968,8.257283745649602e-16,8079.175988947931,2158.3730433076553,7431.34562504957,1510.5426794092948,647.8303638983602,647.8303638983602,647.8303638983602,3009,20831,647.8303638983602,1.0,0.026493429165296144,7.198115154426225,33.43333333333333,0.6358422999671074,0.1361975144168893,0.12214321716032976,0.13506362080360843
autumn,aa,90,1360.2970130013769,1303.0712060043372,57.22580699703967,28.16993063296222,29.055876364077456,57.22580699703968,8.257283745649602e-16,8079.175988947931,2158.3730433076553,7431.34562504957,1510.5426794092948,647.8303638983602,647.8303638983602,647.8303638983602,3144,20696,647.8303638983602,1.0,0.026493429165296144,7.198115154426225,34.93333333333333,0.6358422999671074,0.1423809877011348,0.1389179177047672,0.14212812147323592
winter,static,88,2924.644746909088,2894.7494754079585,29.895271501129656,25.730176900158412,4.165094600971241,29.89527150112965,1.0477729794899915e-15,12516.305946328212,466.5684576999234,12242.29316635013,192.55567772184,274.0127799780835,274.01277997808336,274.0127799780834,1307,26881,280.62970587814283,0.9764211494312272,0.01429028274432584,3.113781590660039,14.852272727272727,0.3397189943310188,0.12711576666255414,0.11019062916355232,0.12953637932938653
winter,zip,88,2924.644746909088,2894.106322911687,30.53842399740114,24.32153290520196,6.216891092199178,30.538423997401132,1.0477729794899915e-15,12516.305946328212,466.5684576999234,12235.67624045007,185.93875182178056,280.6297058781429,280.62970587814283,280.62970587814283,1347,26841,280.62970587814283,1.0,0.014597717015966127,3.1889739304334412,15.306818181818182,0.34702754542501296,0.1353532403912225,0.1160212381554991,0.13624654808119754
winter,aa,88,2924.644746909088,2894.106322911687,30.53842399740114,20.253192993300292,10.285231004100844,30.538423997401132,1.0477729794899915e-15,12516.305946328212,466.5684576999234,12235.67624045007,185.93875182178053,280.6297058781429,280.62970587814283,280.62970587814283,1342,26846,280.62970587814283,1.0,0.014597717015966127,3.1889739304334412,15.25,0.34702754542501296,0.15055682954273517,0.14157136808229576,0.15074373004976738
