strategy,annual_num_days,annual_total_grid_only_net_cost,annual_total_strategy_external_net_cost,annual_total_community_saving,annual_total_buyer_savings,annual_total_seller_gains,annual_total_social_benefit,annual_total_grid_only_import,annual_total_grid_only_export,annual_total_strategy_external_import,annual_total_strategy_external_export,annual_total_external_import_reduction,annual_total_external_export_reduction,annual_total_p2p_matched_volume,annual_total_num_trades,annual_total_num_unmatched_orders,annual_total_feasible_p2p_volume,annual_overall_match_rate,annual_avg_daily_matched_volume,annual_avg_daily_saving,annual_avg_daily_num_trades
static,360,3458.6706452624685,3269.0047772974813,189.6658679649874,129.23555243484324,60.43031553014413,189.66586796498737,26908.193729414066,24464.321299572643,24871.76913547389,22427.896705632465,2036.4245939401778,2036.4245939401776,2036.4245939401778,9163,78652,2083.715088130562,0.9773047215237033,5.65673498316716,0.5268496332360761,25.45277777777778
zip,360,3458.6706452624685,3265.2181066391863,193.45253862328218,128.5421932323851,64.91034539089709,193.4525386232822,26908.193729414066,24464.321299572643,24824.478641283502,22380.606211442082,2083.7150881305624,2083.7150881305624,2083.715088130562,9313,78502,2083.715088130562,1.0,5.788097467029339,0.5373681628424505,25.869444444444444
aa,360,3458.6706452624685,3265.2181066391863,193.45253862328218,111.18439063441765,82.26814798886454,193.4525386232822,26908.193729414066,24464.321299572643,24824.478641283502,22380.606211442082,2083.7150881305624,2083.7150881305624,2083.715088130562,9501,78314,2083.715088130562,1.0,5.788097467029339,0.5373681628424505,26.391666666666666
