DateTime,total_import,total_export,hour,tou_price,fit_price,grid_only_import_cost,grid_only_export_revenue,grid_only_net_cost,date,matched_volume,unmatched_buy,unmatched_sell,strategy_external_import_cost,strategy_external_export_revenue,strategy_external_net_cost,buyer_savings,seller_gains,total_social_benefit,num_trades,num_unmatched_orders,community_saving,saving_gap_check,external_import_reduction,external_export_reduction
2013-06-02 00:00:00,0.0,0.0,0,0.156765,0.08395,0.0,0.0,0.0,2013-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-06-02 01:00:00,0.0,0.0,1,0.1524075,0.08195,0.0,0.0,0.0,2013-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-06-02 02:00:00,0.0,0.0,2,0.14752500000000002,0.07970000000000001,0.0,0.0,0.0,2013-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-06-02 03:00:00,0.0,0.0,3,0.14946749999999998,0.0806,0.0,0.0,0.0,2013-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-06-02 04:00:00,0.0,0.0,4,0.15639750000000002,0.08375,0.0,0.0,0.0,2013-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-06-02 05:00:00,0.2439710839006634,0.0,5,0.17808000000000002,0.09355,0.04344637062103014,0.0,0.04344637062103014,2013-06-02,0.0,0.2439710839006634,0.0,0.04344637062103014,0.0,0.04344637062103014,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-06-02 06:00:00,0.2225641593339708,0.7681225041748019,6,0.18144,0.0951,0.04038204106955566,0.07304845014702366,-0.032666409077468,2013-06-02,0.2225641593339708,0.0,0.545558344840831,0.0,0.051882598594363026,-0.051882598594363026,0.01411645281612648,0.005099736700768556,0.019216189516895035,1,2,0.01921618951689503,-6.938893903907228e-18,0.2225641593339708,0.2225641593339709
2013-06-02 07:00:00,0.0,7.171748758816957,7,0.1771875,0.09315,0.0,0.6680483968837995,-0.6680483968837995,2013-06-02,0.0,0.0,7.171748758816957,0.0,0.6680483968837995,-0.6680483968837995,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
2013-06-02 08:00:00,0.0,9.763952960090574,8,0.168,0.08900000000000001,0.0,0.8689918134480612,-0.8689918134480612,2013-06-02,0.0,0.0,9.763952960090574,0.0,0.8689918134480612,-0.8689918134480612,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0
2013-06-02 09:00:00,0.0,10.794415787740919,9,0.1602825,0.0855,0.0,0.9229225498518486,-0.9229225498518486,2013-06-02,0.0,0.0,10.794415787740919,0.0,0.9229225498518486,-0.9229225498518486,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0
2013-06-02 10:00:00,0.0,15.153488786123294,10,0.15162,0.08155000000000001,0.0,1.2357670105083547,-1.2357670105083547,2013-06-02,0.0,0.0,15.153488786123294,0.0,1.2357670105083547,-1.2357670105083547,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0
