h_id,DateTime,import_energy,export_energy
MAC001255,2013-06-02 00:00:00,0.0,0.0
MAC001255,2013-06-02 01:00:00,0.0,0.0
MAC001255,2013-06-02 02:00:00,0.0,0.0
MAC001255,2013-06-02 03:00:00,0.0,0.0
MAC001255,2013-06-02 04:00:00,0.0,0.0
MAC001255,2013-06-02 05:00:00,0.0,0.0
MAC001255,2013-06-02 06:00:00,0.0,0.0
MAC001255,2013-06-02 07:00:00,0.0,0.0
MAC001255,2013-06-02 08:00:00,0.0,0.0
MAC001255,2013-06-02 09:00:00,0.0,0.0
MAC001255,2013-06-02 10:00:00,0.0,0.0
MAC001255,2013-06-02 11:00:00,0.0,0.0
MAC001255,2013-06-02 12:00:00,0.0,0.0
MAC001255,2013-06-02 13:00:00,0.0,0.0
MAC001255,2013-06-02 14:00:00,0.0,0.0
MAC001255,2013-06-02 15:00:00,0.0,0.6444141742270699
MAC001255,2013-06-02 16:00:00,0.0,0.5447013528518676
MAC001255,2013-06-02 17:00:00,0.0,0.7934355195681253
MAC001255,2013-06-02 18:00:00,0.0,0.1700555039863585
MAC001255,2013-06-02 19:00:00,0.0,0.0
MAC001255,2013-06-02 20:00:00,0.0,0.0
MAC001255,2013-06-02 21:00:00,0.0,0.0
MAC001255,2013-06-02 22:00:00,0.0,0.0
MAC001255,2013-06-02 23:00:00,0.0,0.0
MAC001255,2013-06-03 00:00:00,0.0,0.0
MAC001255,2013-06-03 01:00:00,0.0,0.0
MAC001255,2013-06-03 02:00:00,0.0,0.0
MAC001255,2013-06-03 03:00:00,0.0,0.0
MAC001255,2013-06-03 04:00:00,0.0,0.0
MAC001255,2013-06-03 05:00:00,0.0,0.0
MAC001255,2013-06-03 06:00:00,0.0,0.0
MAC001255,2013-06-03 07:00:00,0.0,0.0
MAC001255,2013-06-03 08:00:00,0.0,0.0
MAC001255,2013-06-03 09:00:00,0.0,0.0
MAC001255,2013-06-03 10:00:00,0.0,0.0
MAC001255,2013-06-03 11:00:00,0.0,0.0
MAC001255,2013-06-03 12:00:00,0.0,0.0
MAC001255,2013-06-03 13:00:00,0.0,0.6700228086619198
MAC001255,2013-06-03 14:00:00,0.0,1.57205338734436
MAC001255,2013-06-03 15:00:00,0.0,0.9428816294924416
MAC001255,2013-06-03 16:00:00,0.0,1.2271443328221636
MAC001255,2013-06-03 17:00:00,0.0,0.8775408125178017
MAC001255,2013-06-03 18:00:00,0.0,0.21802496316019693
MAC001255,2013-06-03 19:00:00,0.0,0.04130076646169023
MAC001255,2013-06-03 20:00:00,0.0,0.0
MAC001255,2013-06-03 21:00:00,0.0,0.0
MAC001255,2013-06-03 22:00:00,0.0,0.0
MAC001255,2013-06-03 23:00:00,0.0,0.0
MAC001255,2013-06-04 00:00:00,0.0,0.0
MAC001255,2013-06-04 01:00:00,0.0,0.0
MAC001255,2013-06-04 02:00:00,0.0,0.0
MAC001255,2013-06-04 03:00:00,0.0,0.0
