DateTime,total_import,total_export,hour,tou_price,fit_price,grid_only_import_cost,grid_only_export_revenue,grid_only_net_cost,date,matched_volume,unmatched_buy,unmatched_sell,strategy_external_import_cost,strategy_external_export_revenue,strategy_external_net_cost,buyer_savings,seller_gains,total_social_benefit,num_trades,num_unmatched_orders,community_saving,saving_gap_check,external_import_reduction,external_export_reduction
2013-03-02 00:00:00,0.0,0.0,0,0.156765,0.08395,0.0,0.0,0.0,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-03-02 01:00:00,0.0,0.0,1,0.1524075,0.08195,0.0,0.0,0.0,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2013-03-02 02:00:00,0.5154038600921631,0.0,2,0.14752500000000002,0.07970000000000001,0.07603495446009637,0.0,0.07603495446009637,2013-03-02,0.0,0.5154038600921631,0.0,0.07603495446009637,0.0,0.07603495446009637,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-03-02 03:00:00,0.7543174028396606,0.0,3,0.14946749999999998,0.0806,0.11274593640893696,0.0,0.11274593640893696,2013-03-02,0.0,0.7543174028396606,0.0,0.11274593640893696,0.0,0.11274593640893696,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-03-02 04:00:00,0.7080363631248474,0.0,4,0.15639750000000002,0.08375,0.11073511710181834,0.0,0.11073511710181834,2013-03-02,0.0,0.7080363631248474,0.0,0.11073511710181834,0.0,0.11073511710181834,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-03-02 05:00:00,0.6884642839431763,0.0,5,0.17808000000000002,0.09355,0.12260171968460085,0.0,0.12260171968460085,2013-03-02,0.0,0.6884642839431763,0.0,0.12260171968460085,0.0,0.12260171968460085,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-03-02 06:00:00,0.6557841618919372,0.0,6,0.18144,0.0951,0.11898547833367308,0.0,0.11898547833367308,2013-03-02,0.0,0.6557841618919372,0.0,0.11898547833367308,0.0,0.11898547833367308,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2013-03-02 07:00:00,3.748953659323693,0.0,7,0.1771875,0.09315,0.6642677265114169,0.0,0.6642677265114169,2013-03-02,0.0,3.748953659323693,0.0,0.6642677265114169,0.0,0.6642677265114169,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
2013-03-02 08:00:00,4.964649615032779,0.0,8,0.168,0.08900000000000001,0.834061135325507,0.0,0.834061135325507,2013-03-02,0.0,4.964649615032779,0.0,0.834061135325507,0.0,0.834061135325507,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0
2013-03-02 09:00:00,4.786788565697352,0.0,9,0.1602825,0.0855,0.7672384382813857,0.0,0.7672384382813857,2013-03-02,0.0,4.786788565697352,0.0,0.7672384382813857,0.0,0.7672384382813857,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0
2013-03-02 10:00:00,4.081693278323386,0.0,10,0.15162,0.08155000000000001,0.6188663348593918,0.0,0.6188663348593918,2013-03-02,0.0,4.081693278323386,0.0,0.6188663348593918,0.0,0.6188663348593918,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0
2013-03-02 11:00:00,3.8417189622876107,0.0,11,0.14468999999999999,0.0785,0.5558583166533944,0.0,0.5558583166533944,2013-03-02,0.0,3.841718962287611,0.0,0.5558583166533944,0.0,0.5558583166533944,0.0,0.0,0.0,0,11,0.0,0.0,-4.440892098500626e-16,0.0
2013-03-02 12:00:00,3.3752641543742286,0.0,12,0.138705,0.07575000000000001,0.46816601453247736,0.0,0.46816601453247736,2013-03-02,0.0,3.3752641543742286,0.0,0.46816601453247736,0.0,0.46816601453247736,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2013-03-02 13:00:00,2.896705169866774,0.0,13,0.136395,0.07475000000000001,0.39509610164397857,0.0,0.39509610164397857,2013-03-02,0.0,2.8967051698667734,0.0,0.3950961016439785,0.0,0.3950961016439785,0.0,0.0,0.0,0,10,5.551115123125783e-17,5.551115123125783e-17,4.440892098500626e-16,0.0
2013-03-02 14:00:00,2.6287508955677876,0.0,14,0.13839,0.0756,0.36379283643762617,0.0,0.36379283643762617,2013-03-02,0.0,2.6287508955677876,0.0,0.36379283643762617,0.0,0.36379283643762617,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2013-03-02 15:00:00,2.989266306041538,0.0,15,0.2772525,0.14075,0.8287815565157816,0.0,0.8287815565157816,2013-03-02,0.0,2.989266306041538,0.0,0.8287815565157816,0.0,0.8287815565157816,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0
2013-03-02 16:00:00,5.014906187686054,0.0,16,0.2969925,0.1496,1.4893895259463503,0.0,1.4893895259463503,2013-03-02,0.0,5.014906187686054,0.0,1.4893895259463503,0.0,1.4893895259463503,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0
2013-03-02 17:00:00,8.538516976591323,0.0,17,0.317835,0.15905000000000002,2.713839543254903,0.0,2.713839543254903,2013-03-02,0.0,8.538516976591323,0.0,2.713839543254903,0.0,2.713839543254903,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0
2013-03-02 18:00:00,10.310982473998177,0.0,18,0.21252,0.10915,2.1912899953740923,0.0,2.1912899953740923,2013-03-02,0.0,10.310982473998177,0.0,2.1912899953740923,0.0,2.1912899953740923,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0
